subject,item,condition,prof,RT
subject02,item21,nonword,82.33581406,843.9148039
subject02,item22,word,82.33581406,768.99517
subject02,item23,nonword,82.33581406,403.8604293
subject02,item24,word,82.33581406,155.9052165
subject02,item25,nonword,82.33581406,609.2563718
subject02,item26,word,82.33581406,313.6657314
subject02,item27,nonword,82.33581406,968.6363741
subject02,item28,word,82.33581406,158.0898347
subject02,item29,nonword,82.33581406,566.9868428
subject02,item30,word,82.33581406,338.016077
subject02,item31,nonword,82.33581406,601.5575421
subject02,item32,word,82.33581406,609.6340179
subject02,item33,nonword,82.33581406,371.3518164
subject02,item34,word,82.33581406,800.6208375
subject02,item35,nonword,82.33581406,274.3162788
subject02,item36,word,82.33581406,429.2868724
subject02,item37,nonword,82.33581406,1118.479477
subject02,item38,word,82.33581406,710.0076423
subject02,item39,nonword,82.33581406,380.2783807
subject02,item40,word,82.33581406,871.8435474
subject03,item01,word,86.21945013,265.1350523
subject03,item02,nonword,86.21945013,416.8834375
subject03,item03,word,86.21945013,307.223738
subject03,item04,nonword,86.21945013,571.1976086
subject03,item05,word,86.21945013,490.647529
subject03,item06,nonword,86.21945013,419.403698
subject03,item07,word,86.21945013,701.5959569
subject03,item08,nonword,86.21945013,349.2293017
subject03,item09,word,86.21945013,260.1604113
subject03,item10,nonword,86.21945013,338.3675364
subject03,item11,word,86.21945013,846.9570422
subject03,item12,nonword,86.21945013,235.9087996
subject03,item13,word,86.21945013,626.5860514
subject03,item14,nonword,86.21945013,336.3232691
subject03,item15,word,86.21945013,535.2074545
subject03,item16,nonword,86.21945013,487.9487786
subject03,item17,word,86.21945013,265.6045128
subject03,item18,nonword,86.21945013,596.6432809
subject03,item19,word,86.21945013,369.8359009
subject03,item20,nonword,86.21945013,183.4931547
subject03,item21,word,86.21945013,494.4842976
subject03,item22,nonword,86.21945013,545.3640198
subject03,item23,word,86.21945013,302.4221058
subject03,item24,nonword,86.21945013,217.9885472
subject03,item25,word,86.21945013,323.04115
subject03,item26,nonword,86.21945013,226.1389139
subject03,item27,word,86.21945013,700.6785006
subject03,item28,nonword,86.21945013,380.5904512
subject03,item29,word,86.21945013,546.4406365
subject03,item30,nonword,86.21945013,225.0288156
subject03,item31,word,86.21945013,424.7540761
subject03,item32,nonword,86.21945013,305.6761753
subject03,item33,word,86.21945013,301.8842559
subject03,item34,nonword,86.21945013,452.7912988
subject03,item35,word,86.21945013,311.9587512
subject03,item36,nonword,86.21945013,509.5820198
subject03,item37,word,86.21945013,375.9559852
subject03,item38,nonword,86.21945013,120.8073527
subject03,item39,word,86.21945013,565.6650506
subject03,item40,nonword,86.21945013,363.863339
subject04,item01,nonword,86.21945013,243.5366016
subject04,item02,word,86.21945013,652.9435532
subject04,item03,nonword,86.21945013,592.3538105
subject04,item04,word,86.21945013,802.8425137
subject04,item05,nonword,86.21945013,562.9693945
subject04,item06,word,86.21945013,445.065923
subject04,item07,nonword,86.21945013,733.5223065
subject04,item08,word,86.21945013,332.3589552
subject04,item09,nonword,86.21945013,236.4948002
subject04,item10,word,86.21945013,1072.313972
subject04,item11,nonword,86.21945013,1020.88001
subject04,item12,word,86.21945013,598.0444768
subject04,item13,nonword,86.21945013,403.5866885
subject04,item14,word,86.21945013,299.6707135
subject04,item15,nonword,86.21945013,248.1435026
subject04,item16,word,86.21945013,324.885554
subject04,item17,nonword,86.21945013,415.9701112
subject04,item18,word,86.21945013,519.5590504
subject04,item19,nonword,86.21945013,1048.197004
subject04,item20,word,86.21945013,379.1539036
subject04,item21,nonword,86.21945013,856.6676584
subject04,item22,word,86.21945013,564.9608034
subject04,item23,nonword,86.21945013,814.920913
subject04,item24,word,86.21945013,269.443306
subject04,item25,nonword,86.21945013,496.7826059
subject04,item26,word,86.21945013,242.7467255
subject04,item27,nonword,86.21945013,726.3670003
subject04,item28,word,86.21945013,405.3863933
subject04,item29,nonword,86.21945013,1047.991084
subject04,item30,word,86.21945013,310.9870277
subject04,item31,nonword,86.21945013,997.1390829
subject04,item32,word,86.21945013,628.4807335
subject04,item33,nonword,86.21945013,335.5350005
subject04,item34,word,86.21945013,535.7161295
subject04,item35,nonword,86.21945013,732.3665409
subject04,item36,word,86.21945013,984.7186656
subject04,item37,nonword,86.21945013,762.7071127
subject04,item38,word,86.21945013,541.8306444
subject04,item39,nonword,86.21945013,453.4906912
subject04,item40,word,86.21945013,757.4368885
subject05,item01,word,89.6263219,425.7205053
subject05,item02,nonword,89.6263219,766.921981
subject05,item03,word,89.6263219,738.9378992
subject05,item04,nonword,89.6263219,359.6258039
subject05,item05,word,89.6263219,432.0304664
subject05,item06,nonword,89.6263219,434.5985192
subject05,item07,word,89.6263219,309.3193399
subject05,item08,nonword,89.6263219,196.3391635
subject05,item09,word,89.6263219,220.2252722
subject05,item10,nonword,89.6263219,406.0926303
subject05,item11,word,89.6263219,406.245051
subject05,item12,nonword,89.6263219,143.112684
subject05,item13,word,89.6263219,382.7178064
subject05,item14,nonword,89.6263219,407.858385
subject05,item15,word,89.6263219,473.1940613
subject05,item16,nonword,89.6263219,410.1723003
subject05,item17,word,89.6263219,654.1749688
subject05,item18,nonword,89.6263219,432.227801
subject05,item19,word,89.6263219,183.0359524
subject05,item20,nonword,89.6263219,283.0647941
subject05,item21,word,89.6263219,395.5310429
subject05,item22,nonword,89.6263219,590.4762143
subject05,item23,word,89.6263219,249.5026109
subject05,item24,nonword,89.6263219,138.988484
subject05,item25,word,89.6263219,603.3877376
subject05,item26,nonword,89.6263219,127.584712
subject05,item27,word,89.6263219,265.655243
subject05,item28,nonword,89.6263219,285.8511492
subject05,item29,word,89.6263219,368.5559981
subject05,item30,nonword,89.6263219,239.2723075
subject05,item31,word,89.6263219,354.7079619
subject05,item32,nonword,89.6263219,275.6476627
subject05,item33,word,89.6263219,407.4883618
subject05,item34,nonword,89.6263219,276.2535287
subject05,item35,word,89.6263219,589.185131
subject05,item36,nonword,89.6263219,403.7110135
subject05,item37,word,89.6263219,389.8071517
subject05,item38,nonword,89.6263219,427.0609857
subject05,item39,word,89.6263219,293.9686517
subject05,item40,nonword,89.6263219,486.6149936
subject06,item01,nonword,89.6263219,281.042162
subject06,item02,word,89.6263219,396.1083538
subject06,item03,nonword,89.6263219,266.5776172
subject06,item04,word,89.6263219,474.4947207
subject06,item05,nonword,89.6263219,402.8795461
subject06,item06,word,89.6263219,396.2365076
subject06,item07,nonword,89.6263219,368.610134
subject06,item08,word,89.6263219,249.1821758
subject06,item09,nonword,89.6263219,275.5436483
subject06,item10,word,89.6263219,487.7861265
subject06,item11,nonword,89.6263219,672.7680534
subject06,item12,word,89.6263219,245.0737835
subject06,item13,nonword,89.6263219,532.6896386
subject06,item14,word,89.6263219,453.8318031
subject06,item15,nonword,89.6263219,230.8854194
subject06,item16,word,89.6263219,260.6671826
subject06,item17,nonword,89.6263219,358.3597884
subject06,item18,word,89.6263219,164.2926521
subject06,item19,nonword,89.6263219,289.0764497
subject06,item20,word,89.6263219,365.7898598
subject06,item21,nonword,89.6263219,1172.452385
subject06,item22,word,89.6263219,550.4485784
subject06,item23,nonword,89.6263219,386.3526203
subject06,item24,word,89.6263219,236.3087828
subject06,item25,nonword,89.6263219,492.7670109
subject06,item26,word,89.6263219,342.0972515
subject06,item27,nonword,89.6263219,340.7921866
subject06,item28,word,89.6263219,234.008806
subject06,item29,nonword,89.6263219,263.0321592
subject06,item30,word,89.6263219,320.6927704
subject06,item31,nonword,89.6263219,335.8039439
subject06,item32,word,89.6263219,296.0961718
subject06,item33,nonword,89.6263219,360.4163675
subject06,item34,word,89.6263219,289.3044529
subject06,item35,nonword,89.6263219,304.5430025
subject06,item36,word,89.6263219,309.6352565
subject06,item37,nonword,89.6263219,419.332515
subject06,item38,word,89.6263219,410.8837688
subject06,item39,nonword,89.6263219,238.4146207
subject06,item40,word,89.6263219,657.484604
subject07,item01,word,85.97069578,344.1134717
subject07,item02,nonword,85.97069578,577.7645206
subject07,item03,word,85.97069578,378.6562129
subject07,item04,nonword,85.97069578,447.0331241
subject07,item05,word,85.97069578,251.5247704
subject07,item06,nonword,85.97069578,389.0140357
subject07,item07,word,85.97069578,375.7254504
subject07,item08,nonword,85.97069578,360.02253
subject07,item09,word,85.97069578,267.8232017
subject07,item10,nonword,85.97069578,291.4683613
subject07,item11,word,85.97069578,545.3720732
subject07,item12,nonword,85.97069578,279.1933008
subject07,item13,word,85.97069578,498.4782933
subject07,item14,nonword,85.97069578,297.8924268
subject07,item15,word,85.97069578,377.0038676
subject07,item16,nonword,85.97069578,469.7829427
subject07,item17,word,85.97069578,395.5151278
subject07,item18,nonword,85.97069578,585.3505508
subject07,item19,word,85.97069578,264.4179651
subject07,item20,nonword,85.97069578,251.4730401
subject07,item21,word,85.97069578,282.4301251
subject07,item22,nonword,85.97069578,508.1877816
subject07,item23,word,85.97069578,397.947102
subject07,item24,nonword,85.97069578,169.2821552
subject07,item25,word,85.97069578,459.9001508
subject07,item26,nonword,85.97069578,156.2197541
subject07,item27,word,85.97069578,416.7824422
subject07,item28,nonword,85.97069578,232.7542091
subject07,item29,word,85.97069578,256.4716917
subject07,item30,nonword,85.97069578,333.2851192
subject07,item31,word,85.97069578,214.3881265
subject07,item32,nonword,85.97069578,411.600563
subject07,item33,word,85.97069578,168.9674143
subject07,item34,nonword,85.97069578,439.3342239
subject07,item35,word,85.97069578,414.2867203
subject07,item36,nonword,85.97069578,560.3568645
subject07,item37,word,85.97069578,523.9064893
subject07,item38,nonword,85.97069578,568.3899952
subject07,item39,word,85.97069578,560.5889641
subject07,item40,nonword,85.97069578,731.9497017
subject08,item01,nonword,85.97069578,242.1230477
subject08,item02,word,85.97069578,649.1831505
subject08,item03,nonword,85.97069578,573.8688505
subject08,item04,word,85.97069578,219.0244999
subject08,item05,nonword,85.97069578,578.2154113
subject08,item06,word,85.97069578,461.3637914
subject08,item07,nonword,85.97069578,576.6992031
subject08,item08,word,85.97069578,380.1150187
subject08,item09,nonword,85.97069578,185.7937298
subject08,item10,word,85.97069578,450.5712652
subject08,item11,nonword,85.97069578,613.6050294
subject08,item12,word,85.97069578,194.0702701
subject08,item13,nonword,85.97069578,353.7182479
subject08,item14,word,85.97069578,286.4022217
subject08,item15,nonword,85.97069578,581.1979568
subject08,item16,word,85.97069578,197.8656525
subject08,item17,nonword,85.97069578,305.2552458
subject08,item18,word,85.97069578,306.8682087
subject08,item19,nonword,85.97069578,531.5083559
subject08,item20,word,85.97069578,197.1061623
subject08,item21,nonword,85.97069578,829.9653078
subject08,item22,word,85.97069578,680.6141684
subject08,item23,nonword,85.97069578,436.7299591
subject08,item24,word,85.97069578,209.2643553
subject08,item25,nonword,85.97069578,1018.529239
subject08,item26,word,85.97069578,380.6669462
subject08,item27,nonword,85.97069578,493.7788006
subject08,item28,word,85.97069578,291.6041401
subject08,item29,nonword,85.97069578,570.5529973
subject08,item30,word,85.97069578,373.7986237
subject08,item31,nonword,85.97069578,436.7236474
subject08,item32,word,85.97069578,368.8413361
subject08,item33,nonword,85.97069578,259.3552252
subject08,item34,word,85.97069578,550.0133168
subject08,item35,nonword,85.97069578,333.0051865
subject08,item36,word,85.97069578,349.9575673
subject08,item37,nonword,85.97069578,478.8331214
subject08,item38,word,85.97069578,559.9290665
subject08,item39,nonword,85.97069578,314.5281629
subject08,item40,word,85.97069578,401.5022305
subject09,item01,word,86.20289542,471.0962483
subject09,item02,nonword,86.20289542,836.4801289
subject09,item03,word,86.20289542,341.7523847
subject09,item04,nonword,86.20289542,640.7188008
subject09,item05,word,86.20289542,280.2108753
subject09,item06,nonword,86.20289542,508.1690702
subject09,item07,word,86.20289542,599.1903108
subject09,item08,nonword,86.20289542,384.4527647
subject09,item09,word,86.20289542,406.7262616
subject09,item10,nonword,86.20289542,780.2096439
subject09,item11,word,86.20289542,775.5711446
subject09,item12,nonword,86.20289542,402.0805575
subject09,item13,word,86.20289542,336.9230652
subject09,item14,nonword,86.20289542,392.8976646
subject09,item15,word,86.20289542,415.5326144
subject09,item16,nonword,86.20289542,326.4071859
subject09,item17,word,86.20289542,514.2845677
subject09,item18,nonword,86.20289542,480.3146639
subject09,item19,word,86.20289542,553.4183079
subject09,item20,nonword,86.20289542,264.8017255
subject09,item21,word,86.20289542,674.6533388
subject09,item22,nonword,86.20289542,549.0381303
subject09,item23,word,86.20289542,367.9248367
subject09,item24,nonword,86.20289542,144.0118132
subject09,item25,word,86.20289542,532.4811989
subject09,item26,nonword,86.20289542,255.8531814
subject09,item27,word,86.20289542,270.4215454
subject09,item28,nonword,86.20289542,560.6658914
subject09,item29,word,86.20289542,356.1890788
subject09,item30,nonword,86.20289542,420.7995618
subject09,item31,word,86.20289542,259.2667418
subject09,item32,nonword,86.20289542,476.4097373
subject09,item33,word,86.20289542,297.0378647
subject09,item34,nonword,86.20289542,322.6503487
subject09,item35,word,86.20289542,369.5495308
subject09,item36,nonword,86.20289542,737.1754927
subject09,item37,word,86.20289542,765.7211418
subject09,item38,nonword,86.20289542,555.7160029
subject09,item39,word,86.20289542,585.4178508
subject09,item40,nonword,86.20289542,689.6129269
subject10,item01,nonword,86.20289542,180.791022
subject10,item02,word,86.20289542,270.7710015
subject10,item03,nonword,86.20289542,374.9945381
subject10,item04,word,86.20289542,349.9564197
subject10,item05,nonword,86.20289542,236.5756269
subject10,item06,word,86.20289542,239.5863194
subject10,item07,nonword,86.20289542,253.6534617
subject10,item08,word,86.20289542,282.339643
subject10,item09,nonword,86.20289542,174.3120146
subject10,item10,word,86.20289542,300.9419494
subject10,item11,nonword,86.20289542,1551.517069
subject10,item12,word,86.20289542,500.0904842
subject10,item13,nonword,86.20289542,263.7915921
subject10,item14,word,86.20289542,345.5331698
subject10,item15,nonword,86.20289542,252.5981593
subject10,item16,word,86.20289542,392.6281081
subject10,item17,nonword,86.20289542,200.1957767
subject10,item18,word,86.20289542,221.0758679
subject10,item19,nonword,86.20289542,473.2596513
subject10,item20,word,86.20289542,364.7702193
subject10,item21,nonword,86.20289542,546.0192056
subject10,item22,word,86.20289542,673.4766307
subject10,item23,nonword,86.20289542,482.0885425
subject10,item24,word,86.20289542,151.0508633
subject10,item25,nonword,86.20289542,397.4363217
subject10,item26,word,86.20289542,199.6132779
subject10,item27,nonword,86.20289542,281.9169606
subject10,item28,word,86.20289542,355.4532209
subject10,item29,nonword,86.20289542,354.6348188
subject10,item30,word,86.20289542,150.8316377
subject10,item31,nonword,86.20289542,456.0469429
subject10,item32,word,86.20289542,267.3735838
subject10,item33,nonword,86.20289542,242.5344324
subject10,item34,word,86.20289542,604.3790042
subject10,item35,nonword,86.20289542,259.3265519
subject10,item36,word,86.20289542,491.5126529
subject10,item37,nonword,86.20289542,424.8308209
subject10,item38,word,86.20289542,369.3544018
subject10,item39,nonword,86.20289542,250.6921652
subject10,item40,word,86.20289542,348.7777266
subject11,item01,word,89.46593937,463.7836998
subject11,item02,nonword,89.46593937,1102.596865
subject11,item03,word,89.46593937,418.2779279
subject11,item04,nonword,89.46593937,1141.618618
subject11,item05,word,89.46593937,540.5379245
subject11,item06,nonword,89.46593937,657.7765404
subject11,item07,word,89.46593937,595.6735359
subject11,item08,nonword,89.46593937,609.0059028
subject11,item09,word,89.46593937,158.7840774
subject11,item10,nonword,89.46593937,824.8619652
subject11,item11,word,89.46593937,1226.382588
subject11,item12,nonword,89.46593937,347.1809603
subject11,item13,word,89.46593937,1003.933626
subject11,item14,nonword,89.46593937,386.3020294
subject11,item15,word,89.46593937,552.2658551
subject11,item16,nonword,89.46593937,783.744971
subject11,item17,word,89.46593937,359.9246712
subject11,item18,nonword,89.46593937,755.0732511
subject11,item19,word,89.46593937,779.7754595
subject11,item20,nonword,89.46593937,354.7981394
subject11,item21,word,89.46593937,376.1289071
subject11,item22,nonword,89.46593937,1879.524888
subject11,item23,word,89.46593937,549.4268075
subject11,item24,nonword,89.46593937,536.3910036
subject11,item25,word,89.46593937,555.2857809
subject11,item26,nonword,89.46593937,250.8320031
subject11,item27,word,89.46593937,541.0673861
subject11,item28,nonword,89.46593937,742.5281778
subject11,item29,word,89.46593937,399.2227164
subject11,item30,nonword,89.46593937,653.3109726
subject11,item31,word,89.46593937,355.3025537
subject11,item32,nonword,89.46593937,592.3004953
subject11,item33,word,89.46593937,281.3576441
subject11,item34,nonword,89.46593937,927.2924855
subject11,item35,word,89.46593937,446.153342
subject11,item36,nonword,89.46593937,1030.755595
subject11,item37,word,89.46593937,468.671679
subject11,item38,nonword,89.46593937,897.0673334
subject11,item39,word,89.46593937,521.2213669
subject11,item40,nonword,89.46593937,1580.72755
subject12,item01,nonword,89.46593937,464.5559694
subject12,item02,word,89.46593937,353.444201
subject12,item03,nonword,89.46593937,467.9042667
subject12,item04,word,89.46593937,686.5526931
subject12,item05,nonword,89.46593937,542.7807451
subject12,item06,word,89.46593937,470.7794897
subject12,item07,nonword,89.46593937,433.5126907
subject12,item08,word,89.46593937,658.0878906
subject12,item09,nonword,89.46593937,328.5841594
subject12,item10,word,89.46593937,399.1625613
subject12,item11,nonword,89.46593937,977.1565085
subject12,item12,word,89.46593937,411.4454622
subject12,item13,nonword,89.46593937,1000.780532
subject12,item14,word,89.46593937,375.0425241
subject12,item15,nonword,89.46593937,592.9406891
subject12,item16,word,89.46593937,283.9762109
subject12,item17,nonword,89.46593937,277.8420374
subject12,item18,word,89.46593937,287.9283544
subject12,item19,nonword,89.46593937,693.5318732
subject12,item20,word,89.46593937,364.6572024
subject12,item21,nonword,89.46593937,819.631885
subject12,item22,word,89.46593937,683.4559766
subject12,item23,nonword,89.46593937,608.7781538
subject12,item24,word,89.46593937,205.4884324
subject12,item25,nonword,89.46593937,539.8452002
subject12,item26,word,89.46593937,409.6158013
subject12,item27,nonword,89.46593937,686.1924213
subject12,item28,word,89.46593937,435.3659621
subject12,item29,nonword,89.46593937,536.2779094
subject12,item30,word,89.46593937,371.6933209
subject12,item31,nonword,89.46593937,833.253455
subject12,item32,word,89.46593937,404.5498374
subject12,item33,nonword,89.46593937,516.4723628
subject12,item34,word,89.46593937,621.5246028
subject12,item35,nonword,89.46593937,570.2348012
subject12,item36,word,89.46593937,739.0432472
subject12,item37,nonword,89.46593937,403.5949071
subject12,item38,word,89.46593937,585.7278468
subject12,item39,nonword,89.46593937,276.9835517
subject12,item40,word,89.46593937,543.0754556
subject13,item01,word,81.95683887,359.7339442
subject13,item02,nonword,81.95683887,1034.713964
subject13,item03,word,81.95683887,966.8063456
subject13,item04,nonword,81.95683887,651.6188964
subject13,item05,word,81.95683887,685.5171927
subject13,item06,nonword,81.95683887,838.4060129
subject13,item07,word,81.95683887,294.3516634
subject13,item08,nonword,81.95683887,481.851168
subject13,item09,word,81.95683887,507.1503738
subject13,item10,nonword,81.95683887,351.8737245
subject13,item11,word,81.95683887,876.2948265
subject13,item12,nonword,81.95683887,398.6903856
subject13,item13,word,81.95683887,648.5798231
subject13,item14,nonword,81.95683887,392.3868897
subject13,item15,word,81.95683887,609.634053
subject13,item16,nonword,81.95683887,464.481879
subject13,item17,word,81.95683887,504.4701202
subject13,item18,nonword,81.95683887,656.6494513
subject13,item19,word,81.95683887,385.5564931
subject13,item20,nonword,81.95683887,599.3438188
subject13,item21,word,81.95683887,432.6156901
subject13,item22,nonword,81.95683887,421.1363914
subject13,item23,word,81.95683887,813.4476438
subject13,item24,nonword,81.95683887,213.3632927
subject13,item25,word,81.95683887,693.6490042
subject13,item26,nonword,81.95683887,280.8149345
subject13,item27,word,81.95683887,357.2157908
subject13,item28,nonword,81.95683887,426.05083
subject13,item29,word,81.95683887,456.8150408
subject13,item30,nonword,81.95683887,405.0541509
subject13,item31,word,81.95683887,467.3023269
subject13,item32,nonword,81.95683887,570.4715595
subject13,item33,word,81.95683887,529.68151
subject13,item34,nonword,81.95683887,799.2833497
subject13,item35,word,81.95683887,862.6320987
subject13,item36,nonword,81.95683887,682.9848886
subject13,item37,word,81.95683887,463.5827549
subject13,item38,nonword,81.95683887,451.5456345
subject13,item39,word,81.95683887,276.1867951
subject13,item40,nonword,81.95683887,727.6829774
subject14,item01,nonword,81.95683887,290.7104726
subject14,item02,word,81.95683887,919.0460448
subject14,item03,nonword,81.95683887,716.8052599
subject14,item04,word,81.95683887,490.4434995
subject14,item05,nonword,81.95683887,453.3368419
subject14,item06,word,81.95683887,455.7099706
subject14,item07,nonword,81.95683887,388.2643981
subject14,item08,word,81.95683887,642.9823206
subject14,item09,nonword,81.95683887,240.0973458
subject14,item10,word,81.95683887,837.827283
subject14,item11,nonword,81.95683887,788.691737
subject14,item12,word,81.95683887,578.8559191
subject14,item13,nonword,81.95683887,473.9790141
subject14,item14,word,81.95683887,795.0975051
subject14,item15,nonword,81.95683887,421.5864782
subject14,item16,word,81.95683887,401.3089177
subject14,item17,nonword,81.95683887,696.6826138
subject14,item18,word,81.95683887,452.1064572
subject14,item19,nonword,81.95683887,518.7675371
subject14,item20,word,81.95683887,320.0549198
subject14,item21,nonword,81.95683887,582.5720076
subject14,item22,word,81.95683887,741.8266776
subject14,item23,nonword,81.95683887,651.49032
subject14,item24,word,81.95683887,283.0118583
subject14,item25,nonword,81.95683887,758.7983415
subject14,item26,word,81.95683887,166.0523403
subject14,item27,nonword,81.95683887,899.8484348
subject14,item28,word,81.95683887,263.8098772
subject14,item29,nonword,81.95683887,695.2761746
subject14,item30,word,81.95683887,278.304
subject14,item31,nonword,81.95683887,599.4117084
subject14,item32,word,81.95683887,462.6520198
subject14,item33,nonword,81.95683887,382.0773347
subject14,item34,word,81.95683887,486.951878
subject14,item35,nonword,81.95683887,595.2058211
subject14,item36,word,81.95683887,441.587245
subject14,item37,nonword,81.95683887,537.7012631
subject14,item38,word,81.95683887,447.7492461
subject14,item39,nonword,81.95683887,498.5039315
subject14,item40,word,81.95683887,1066.515508
subject15,item01,word,93.82045179,201.0524791
subject15,item02,nonword,93.82045179,589.2636811
subject15,item03,word,93.82045179,214.1328184
subject15,item04,nonword,93.82045179,418.2400953
subject15,item05,word,93.82045179,308.4244095
subject15,item06,nonword,93.82045179,407.1584274
subject15,item07,word,93.82045179,300.2037979
subject15,item08,nonword,93.82045179,271.7515482
subject15,item09,word,93.82045179,102.7757248
subject15,item10,nonword,93.82045179,279.9541058
subject15,item11,word,93.82045179,662.748124
subject15,item12,nonword,93.82045179,168.2469327
subject15,item13,word,93.82045179,281.118706
subject15,item14,nonword,93.82045179,228.9548773
subject15,item15,word,93.82045179,342.5224537
subject15,item16,nonword,93.82045179,423.9252692
subject15,item17,word,93.82045179,273.7333893
subject15,item18,nonword,93.82045179,461.8874398
subject15,item19,word,93.82045179,207.8947995
subject15,item20,nonword,93.82045179,417.234559
subject15,item21,word,93.82045179,422.3589381
subject15,item22,nonword,93.82045179,237.8840248
subject15,item23,word,93.82045179,238.5062589
subject15,item24,nonword,93.82045179,147.9900436
subject15,item25,word,93.82045179,423.1754129
subject15,item26,nonword,93.82045179,121.8707073
subject15,item27,word,93.82045179,220.9435408
subject15,item28,nonword,93.82045179,325.6728922
subject15,item29,word,93.82045179,162.2553288
subject15,item30,nonword,93.82045179,308.1263217
subject15,item31,word,93.82045179,357.8987465
subject15,item32,nonword,93.82045179,476.6841194
subject15,item33,word,93.82045179,196.2102366
subject15,item34,nonword,93.82045179,460.7161763
subject15,item35,word,93.82045179,186.9029431
subject15,item36,nonword,93.82045179,697.0430278
subject15,item37,word,93.82045179,236.6549817
subject15,item38,nonword,93.82045179,288.7051821
subject15,item39,word,93.82045179,306.9990161
subject15,item40,nonword,93.82045179,345.7953069
subject16,item01,nonword,93.82045179,239.4672553
subject16,item02,word,93.82045179,453.620388
subject16,item03,nonword,93.82045179,391.6118861
subject16,item04,word,93.82045179,276.4115964
subject16,item05,nonword,93.82045179,201.8629865
subject16,item06,word,93.82045179,221.5601381
subject16,item07,nonword,93.82045179,192.2523347
subject16,item08,word,93.82045179,300.4121822
subject16,item09,nonword,93.82045179,145.4674149
subject16,item10,word,93.82045179,145.6031975
subject16,item11,nonword,93.82045179,610.6617143
subject16,item12,word,93.82045179,185.6020938
subject16,item13,nonword,93.82045179,139.4599823
subject16,item14,word,93.82045179,230.6583813
subject16,item15,nonword,93.82045179,304.8770802
subject16,item16,word,93.82045179,161.9569225
subject16,item17,nonword,93.82045179,154.4723047
subject16,item18,word,93.82045179,255.1544317
subject16,item19,nonword,93.82045179,207.9703105
subject16,item20,word,93.82045179,155.0897305
subject16,item21,nonword,93.82045179,684.6902062
subject16,item22,word,93.82045179,357.9387382
subject16,item23,nonword,93.82045179,455.1857624
subject16,item24,word,93.82045179,151.4794796
subject16,item25,nonword,93.82045179,230.9497658
subject16,item26,word,93.82045179,88.03616415
subject16,item27,nonword,93.82045179,337.5018696
subject16,item28,word,93.82045179,205.6989903
subject16,item29,nonword,93.82045179,320.1216247
subject16,item30,word,93.82045179,237.9395259
subject16,item31,nonword,93.82045179,241.5009551
subject16,item32,word,93.82045179,220.7154263
subject16,item33,nonword,93.82045179,160.7277352
subject16,item34,word,93.82045179,240.0487578
subject16,item35,nonword,93.82045179,279.6409248
subject16,item36,word,93.82045179,296.0541287
subject16,item37,nonword,93.82045179,417.5574627
