"","subject","L1.1","item","attachment","context","RT"
"194","Particpant134","English","item02","DP1","DP2",266.5558761
"195","Particpant134","English","item03","DP2","DP1",468.9219795
"196","Particpant134","English","item04","DP2","DP2",520.8341271
"197","Particpant134","English","item05","DP1","DP1",295.5977466
"198","Particpant134","English","item06","DP1","DP2",358.5024747
"199","Particpant134","English","item07","DP2","DP1",334.8014166
"200","Particpant134","English","item08","DP2","DP2",503.6094588
"201","Particpant134","English","item09","DP1","DP1",393.9195168
"202","Particpant134","English","item10","DP1","DP2",452.8511514
"203","Particpant134","English","item11","DP2","DP1",537.8116304
"204","Particpant134","English","item12","DP2","DP2",370.26389052
"205","Particpant134","English","item13","DP1","DP1",260.04216828
"206","Particpant134","English","item14","DP1","DP2",451.2006033
"207","Particpant134","English","item15","DP2","DP1",326.7874638
"208","Particpant134","English","item16","DP2","DP2",229.085352
"209","Particpant134","English","item17","DP1","DP1",634.6880048
"210","Particpant134","English","item18","DP1","DP2",481.5262484
"211","Particpant134","English","item19","DP2","DP1",486.8379192
"212","Particpant134","English","item20","DP2","DP2",341.80364752
"213","Particpant134","English","item21","DP1","DP1",480.9710316
"214","Particpant134","English","item22","DP1","DP2",468.058282
"215","Particpant134","English","item23","DP2","DP1",524.4423292
"216","Particpant134","English","item24","DP2","DP2",570.7579244
"217","Particpant138","English","item01","DP1","DP1",161.53982883
"218","Particpant138","English","item02","DP1","DP2",180.57348381
"219","Particpant138","English","item03","DP2","DP1",271.9556703
"220","Particpant138","English","item04","DP2","DP2",111.56972862
"221","Particpant138","English","item05","DP1","DP1",107.110539
"222","Particpant138","English","item06","DP1","DP2",212.94860262
"223","Particpant138","English","item07","DP2","DP1",333.3955947
"224","Particpant138","English","item08","DP2","DP2",256.96427052
"225","Particpant138","English","item09","DP1","DP1",220.468563
"226","Particpant138","English","item10","DP1","DP2",216.76399902
"227","Particpant138","English","item11","DP2","DP1",340.36430172
"228","Particpant138","English","item12","DP2","DP2",405.9257348
"229","Particpant138","English","item13","DP1","DP1",174.95849613
"230","Particpant138","English","item14","DP1","DP2",298.26478857
"231","Particpant138","English","item15","DP2","DP1",413.2664124
"232","Particpant138","English","item16","DP2","DP2",284.54598924
"233","Particpant138","English","item17","DP1","DP1",532.3138304
"234","Particpant138","English","item18","DP1","DP2",633.5680612
"235","Particpant138","English","item19","DP2","DP1",208.62895788
"236","Particpant138","English","item20","DP2","DP2",322.7516128
"237","Particpant138","English","item21","DP1","DP1",375.06664484
"238","Particpant138","English","item22","DP1","DP2",281.42689312
"239","Particpant138","English","item23","DP2","DP1",309.48757204
"240","Particpant138","English","item24","DP2","DP2",369.28248216
"241","Particpant139","English","item01","DP1","DP1",219.3346566
"242","Particpant139","English","item02","DP1","DP2",360.9832116
"243","Particpant139","English","item03","DP2","DP1",238.58821266
"244","Particpant139","English","item04","DP2","DP2",269.47637136
"245","Particpant139","English","item05","DP1","DP1",360.3276012
"246","Particpant139","English","item06","DP1","DP2",382.7345166
"247","Particpant139","English","item07","DP2","DP1",458.0415771
"248","Particpant139","English","item08","DP2","DP2",243.56025408
"249","Particpant139","English","item09","DP1","DP1",332.2723446
"250","Particpant139","English","item10","DP1","DP2",402.0971265
"251","Particpant139","English","item11","DP2","DP1",647.1842164
"252","Particpant139","English","item12","DP2","DP2",457.1566688
"253","Particpant139","English","item13","DP1","DP1",440.1663216
"254","Particpant139","English","item14","DP1","DP2",291.69158133
"255","Particpant139","English","item15","DP2","DP1",544.378041
"256","Particpant139","English","item16","DP2","DP2",558.7625676
"257","Particpant139","English","item17","DP1","DP1",276.53514068
"258","Particpant139","English","item18","DP1","DP2",552.1501836
"259","Particpant139","English","item19","DP2","DP1",490.5879544
"260","Particpant139","English","item20","DP2","DP2",380.3149372
"261","Particpant139","English","item21","DP1","DP1",351.79276944
"262","Particpant139","English","item22","DP1","DP2",519.4895
"263","Particpant139","English","item23","DP2","DP1",630.837488
"264","Particpant139","English","item24","DP2","DP2",323.48159176
"265","Particpant140","English","item01","DP2","DP2",318.3246207
"266","Particpant140","English","item02","DP1","DP1",275.93822496
"267","Particpant140","English","item03","DP1","DP2",198.01525686
"268","Particpant140","English","item04","DP2","DP1",282.22017891
"269","Particpant140","English","item05","DP2","DP2",502.4765931
"270","Particpant140","English","item06","DP1","DP1",321.2399286
"271","Particpant140","English","item07","DP1","DP2",226.49856075
"272","Particpant140","English","item08","DP2","DP1",486.277353
"273","Particpant140","English","item09","DP2","DP2",160.53630549
"274","Particpant140","English","item10","DP1","DP1",302.2433109
"275","Particpant140","English","item11","DP1","DP2",466.3758192
"276","Particpant140","English","item12","DP2","DP1",560.1681996
"277","Particpant140","English","item13","DP2","DP2",346.5048186
"278","Particpant140","English","item14","DP1","DP1",363.4640052
"279","Particpant140","English","item15","DP1","DP2",259.96077177
"280","Particpant140","English","item16","DP2","DP1",206.35013826
"281","Particpant140","English","item17","DP2","DP2",471.0439884
"282","Particpant140","English","item18","DP1","DP1",447.1705804
"283","Particpant140","English","item19","DP1","DP2",495.7011332
"284","Particpant140","English","item20","DP2","DP1",504.6226168
"285","Particpant140","English","item21","DP2","DP2",445.8069124
"286","Particpant140","English","item22","DP1","DP1",223.72784892
"287","Particpant140","English","item23","DP1","DP2",491.9181648
"288","Particpant140","English","item24","DP2","DP1",360.21103984
"289","Particpant142","English","item01","DP1","DP1",201.06108045
"290","Particpant142","English","item02","DP1","DP2",193.48206258
"291","Particpant142","English","item03","DP2","DP1",399.5181267
"292","Particpant142","English","item04","DP2","DP2",322.3104039
"293","Particpant142","English","item05","DP1","DP1",257.50530276
"294","Particpant142","English","item06","DP1","DP2",134.30270811
"295","Particpant142","English","item07","DP2","DP1",276.53066382
"296","Particpant142","English","item08","DP2","DP2",163.35757644
"297","Particpant142","English","item09","DP1","DP1",190.40755158
"298","Particpant142","English","item10","DP1","DP2",248.10169692
"299","Particpant142","English","item11","DP2","DP1",466.5120876
"300","Particpant142","English","item12","DP2","DP2",456.706668
"301","Particpant142","English","item13","DP1","DP1",155.66044167
"302","Particpant142","English","item14","DP1","DP2",321.2893209
"303","Particpant142","English","item15","DP2","DP1",319.5300366
"304","Particpant142","English","item16","DP2","DP2",165.21273339
"305","Particpant142","English","item17","DP1","DP1",274.10994432
"306","Particpant142","English","item18","DP1","DP2",426.597844
"307","Particpant142","English","item19","DP2","DP1",403.6087328
"308","Particpant142","English","item20","DP2","DP2",477.17387
"309","Particpant142","English","item21","DP1","DP1",346.34108064
"310","Particpant142","English","item22","DP1","DP2",201.86011736
"311","Particpant142","English","item23","DP2","DP1",406.6490464
"312","Particpant142","English","item24","DP2","DP2",223.79038824
"313","Particpant143","English","item01","DP2","DP2",212.02766433
"314","Particpant143","English","item02","DP1","DP1",333.5079441
"315","Particpant143","English","item03","DP1","DP2",459.5919657
"316","Particpant143","English","item04","DP2","DP1",352.5120024
"317","Particpant143","English","item05","DP2","DP2",210.64071723
"318","Particpant143","English","item06","DP1","DP1",452.0921781
"319","Particpant143","English","item07","DP1","DP2",298.9741317
"320","Particpant143","English","item08","DP2","DP1",344.3932764
"321","Particpant143","English","item09","DP2","DP2",309.5911938
"322","Particpant143","English","item10","DP1","DP1",482.4608655
"323","Particpant143","English","item11","DP1","DP2",401.2945924
"324","Particpant143","English","item12","DP2","DP1",298.84838772
"325","Particpant143","English","item13","DP2","DP2",276.86462301
"326","Particpant143","English","item14","DP1","DP1",266.08003608
"327","Particpant143","English","item15","DP1","DP2",310.4136549
"328","Particpant143","English","item16","DP2","DP1",325.0670889
"329","Particpant143","English","item17","DP2","DP2",357.66888812
"330","Particpant143","English","item18","DP1","DP1",461.3412988
"331","Particpant143","English","item19","DP1","DP2",233.05161276
"332","Particpant143","English","item20","DP2","DP1",416.3510636
"333","Particpant143","English","item21","DP2","DP2",395.1518732
"334","Particpant143","English","item22","DP1","DP1",407.7283028
"335","Particpant143","English","item23","DP1","DP2",619.4799076
"336","Particpant143","English","item24","DP2","DP1",597.7054404
"337","Particpant144","English","item01","DP2","DP2",387.8903556
"338","Particpant144","English","item02","DP1","DP1",236.13678048
"339","Particpant144","English","item03","DP1","DP2",225.67048281
"340","Particpant144","English","item04","DP2","DP1",254.92921875
"341","Particpant144","English","item05","DP2","DP2",273.28776852
"342","Particpant144","English","item06","DP1","DP1",147.38109513
"343","Particpant144","English","item07","DP1","DP2",256.40559936
"344","Particpant144","English","item08","DP2","DP1",206.09021745
"345","Particpant144","English","item09","DP2","DP2",212.05830129
"346","Particpant144","English","item10","DP1","DP1",330.1417905
"347","Particpant144","English","item11","DP1","DP2",269.87858384
"348","Particpant144","English","item12","DP2","DP1",244.35396956
"349","Particpant144","English","item13","DP2","DP2",384.2948298
"350","Particpant144","English","item14","DP1","DP1",161.77275975
"351","Particpant144","English","item15","DP1","DP2",326.9354787
"352","Particpant144","English","item16","DP2","DP1",401.6940054
"353","Particpant144","English","item17","DP2","DP2",585.930606
"354","Particpant144","English","item18","DP1","DP1",312.34662832
"355","Particpant144","English","item19","DP1","DP2",151.39173116
"356","Particpant144","English","item20","DP2","DP1",332.62859064
"357","Particpant144","English","item21","DP2","DP2",592.3124476
"358","Particpant144","English","item22","DP1","DP1",540.6562908
"359","Particpant144","English","item23","DP1","DP2",366.83290172
"360","Particpant144","English","item24","DP2","DP1",303.407282
"361","Particpant145","English","item01","DP1","DP2",254.20398528
"362","Particpant145","English","item02","DP2","DP1",544.1684562
"363","Particpant145","English","item03","DP2","DP2",242.28052488
"364","Particpant145","English","item04","DP1","DP1",298.22965812
"365","Particpant145","English","item05","DP1","DP2",267.43908291
"366","Particpant145","English","item06","DP2","DP1",343.546113
"367","Particpant145","English","item07","DP2","DP2",280.52430225
"368","Particpant145","English","item08","DP1","DP1",312.3962244
"369","Particpant145","English","item09","DP1","DP2",505.3724361
"370","Particpant145","English","item10","DP2","DP1",684.3110544
"371","Particpant145","English","item11","DP2","DP2",577.4991336
"372","Particpant145","English","item12","DP1","DP1",483.6071204
"373","Particpant145","English","item13","DP1","DP2",346.4291472
"374","Particpant145","English","item14","DP2","DP1",414.514452
"375","Particpant145","English","item15","DP2","DP2",242.68323735
"376","Particpant145","English","item16","DP1","DP1",239.38230255
"377","Particpant145","English","item17","DP1","DP2",373.2971464
"378","Particpant145","English","item18","DP2","DP1",505.2806676
"379","Particpant145","English","item19","DP2","DP2",398.2370986
"380","Particpant145","English","item20","DP1","DP1",764.3883784
"381","Particpant145","English","item21","DP1","DP2",333.26398924
"382","Particpant145","English","item22","DP2","DP1",375.92774312
"383","Particpant145","English","item23","DP2","DP2",451.7423924
"384","Particpant145","English","item24","DP1","DP1",184.97983532
"385","Particpant146","English","item01","DP1","DP2",392.2419645
"386","Particpant146","English","item02","DP2","DP1",308.1270975
"387","Particpant146","English","item03","DP2","DP2",375.8631
"388","Particpant146","English","item04","DP1","DP1",283.46963337
"389","Particpant146","English","item05","DP1","DP2",277.0461708
"390","Particpant146","English","item06","DP2","DP1",288.67400649
"391","Particpant146","English","item07","DP2","DP2",400.3399452
"392","Particpant146","English","item08","DP1","DP1",349.1421714
"393","Particpant146","English","item09","DP1","DP2",302.9712408
"394","Particpant146","English","item10","DP2","DP1",349.7516655
"395","Particpant146","English","item11","DP2","DP2",296.2611786
"396","Particpant146","English","item12","DP1","DP1",305.30573116
"397","Particpant146","English","item13","DP1","DP2",320.0346912
"398","Particpant146","English","item14","DP2","DP1",259.17289506
"399","Particpant146","English","item15","DP2","DP2",286.28684661
"400","Particpant146","English","item16","DP1","DP1",302.9616093
"401","Particpant146","English","item17","DP1","DP2",392.26589324
"402","Particpant146","English","item18","DP2","DP1",321.61977812
"403","Particpant146","English","item19","DP2","DP2",766.16297
"404","Particpant146","English","item20","DP1","DP1",290.708604
"405","Particpant146","English","item21","DP1","DP2",366.58772544
"406","Particpant146","English","item22","DP2","DP1",592.5891592
"407","Particpant146","English","item23","DP2","DP2",360.15407588
"408","Particpant146","English","item24","DP1","DP1",273.904598
"409","Particpant147","English","item01","DP2","DP1",324.5934324
"410","Particpant147","English","item02","DP2","DP2",302.7252831
"411","Particpant147","English","item03","DP1","DP1",312.6577164
"412","Particpant147","English","item04","DP1","DP2",186.4245846
"413","Particpant147","English","item05","DP2","DP1",208.03776822
"414","Particpant147","English","item06","DP2","DP2",270.50012811
"415","Particpant147","English","item07","DP1","DP1",299.49686748
"416","Particpant147","English","item08","DP1","DP2",343.8247227
"417","Particpant147","English","item09","DP2","DP1",391.3212753
"418","Particpant147","English","item10","DP2","DP2",213.01564188
"419","Particpant147","English","item11","DP1","DP1",393.36366252
"420","Particpant147","English","item12","DP1","DP2",379.81956368
"421","Particpant147","English","item13","DP2","DP1",413.4054168
"422","Particpant147","English","item14","DP2","DP2",258.71372421
"423","Particpant147","English","item15","DP1","DP1",492.9691611
"424","Particpant147","English","item16","DP1","DP2",467.5461141
"425","Particpant147","English","item17","DP2","DP1",439.4030884
"426","Particpant147","English","item18","DP2","DP2",360.26560724
"427","Particpant147","English","item19","DP1","DP1",493.4674872
"428","Particpant147","English","item20","DP1","DP2",479.2766452
"429","Particpant147","English","item21","DP2","DP1",306.54167876
"430","Particpant147","English","item22","DP2","DP2",401.009748
"431","Particpant147","English","item23","DP1","DP1",288.93023116
"432","Particpant147","English","item24","DP1","DP2",522.2514492
"433","Particpant149","English","item01","DP2","DP2",195.38594919
"434","Particpant149","English","item02","DP1","DP1",225.60382584
"435","Particpant149","English","item03","DP1","DP2",109.41424173
"436","Particpant149","English","item04","DP2","DP1",249.31922982
"437","Particpant149","English","item05","DP2","DP2",263.29116297
"438","Particpant149","English","item06","DP1","DP1",228.08912715
"439","Particpant149","English","item07","DP1","DP2",375.2939031
"440","Particpant149","English","item08","DP2","DP1",361.4878899
"441","Particpant149","English","item09","DP2","DP2",237.3189018
"442","Particpant149","English","item10","DP1","DP1",239.61667599
"443","Particpant149","English","item11","DP1","DP2",341.99658164
"444","Particpant149","English","item12","DP2","DP1",490.0619316
"445","Particpant149","English","item13","DP2","DP2",142.46571276
"446","Particpant149","English","item14","DP1","DP1",152.64771276
"447","Particpant149","English","item15","DP1","DP2",321.1767117
"448","Particpant149","English","item16","DP2","DP1",197.49745695
"449","Particpant149","English","item17","DP2","DP2",281.45829312
"450","Particpant149","English","item18","DP1","DP1",417.77368
"451","Particpant149","English","item19","DP1","DP2",201.39022184
"452","Particpant149","English","item20","DP2","DP1",349.46671632
"453","Particpant149","English","item21","DP2","DP2",343.91983444
"454","Particpant149","English","item22","DP1","DP1",574.9204384
"455","Particpant149","English","item23","DP1","DP2",232.52063648
"456","Particpant149","English","item24","DP2","DP1",448.4388052
"457","Particpant150","English","item01","DP1","DP2",289.98963327
"458","Particpant150","English","item02","DP2","DP1",238.33284666
"459","Particpant150","English","item03","DP2","DP2",244.22901183
"460","Particpant150","English","item04","DP1","DP1",249.13985337
"461","Particpant150","English","item05","DP1","DP2",263.1677625
"462","Particpant150","English","item06","DP2","DP1",335.4943806
"463","Particpant150","English","item07","DP2","DP2",177.82149606
"464","Particpant150","English","item08","DP1","DP1",219.87880932
"465","Particpant150","English","item09","DP1","DP2",282.04368684
"466","Particpant150","English","item10","DP2","DP1",218.1461067
"467","Particpant150","English","item11","DP2","DP2",210.79145572
"468","Particpant150","English","item12","DP1","DP1",230.56105408
"469","Particpant150","English","item13","DP1","DP2",191.13302667
"470","Particpant150","English","item14","DP2","DP1",153.10070028
"471","Particpant150","English","item15","DP2","DP2",180.4585431
"472","Particpant150","English","item16","DP1","DP1",199.7930124
"473","Particpant150","English","item17","DP1","DP2",329.23720504
"474","Particpant150","English","item18","DP2","DP1",243.778631
"475","Particpant150","English","item19","DP2","DP2",478.5593852
"476","Particpant150","English","item20","DP1","DP1",324.88426508
"477","Particpant150","English","item21","DP1","DP2",167.17812064
"478","Particpant150","English","item22","DP2","DP1",224.08392488
"479","Particpant150","English","item23","DP2","DP2",305.03799564
"480","Particpant150","English","item24","DP1","DP1",270.61518136
"481","Particpant151","English","item01","DP2","DP1",189.58572705
"482","Particpant151","English","item02","DP2","DP2",239.25027174
"483","Particpant151","English","item03","DP1","DP1",139.82213508
"484","Particpant151","English","item04","DP1","DP2",222.48786039
"485","Particpant151","English","item05","DP2","DP1",369.6510087
"486","Particpant151","English","item06","DP2","DP2",238.79996451
"487","Particpant151","English","item07","DP1","DP1",313.9084248
"488","Particpant151","English","item08","DP1","DP2",198.70146408
"489","Particpant151","English","item09","DP2","DP1",344.2375314
"490","Particpant151","English","item10","DP2","DP2",258.9355074
"491","Particpant151","English","item11","DP1","DP1",461.419144
"492","Particpant151","English","item12","DP1","DP2",175.9418692
"493","Particpant151","English","item13","DP2","DP1",355.8437133
"494","Particpant151","English","item14","DP2","DP2",222.7971879
"495","Particpant151","English","item15","DP1","DP1",238.31398446
"496","Particpant151","English","item16","DP1","DP2",212.05697376
"497","Particpant151","English","item17","DP2","DP1",340.08331632
"498","Particpant151","English","item18","DP2","DP2",439.010358
"499","Particpant151","English","item19","DP1","DP1",273.6108546
