subject,item,condition,rawRT
27,9,objgap,401
27,10,subjgap,385
27,11,objgap,295
27,12,subjgap,442
27,13,objgap,290
27,14,subjgap,502
27,15,objgap,285
27,16,subjgap,701
28,1,subjgap,312
28,2,objgap,324
28,3,subjgap,260
28,4,objgap,237
28,5,subjgap,236
28,6,objgap,540
28,7,subjgap,315
28,8,objgap,1374
28,9,subjgap,293
28,10,objgap,540
28,11,subjgap,233
28,12,objgap,2223
28,13,subjgap,281
28,14,objgap,592
28,15,subjgap,375
28,16,objgap,1393
29,1,objgap,282
29,2,subjgap,371
29,3,objgap,378
29,4,subjgap,395
29,5,objgap,263
29,6,subjgap,386
29,7,objgap,204
29,8,subjgap,297
29,9,objgap,430
29,10,subjgap,470
29,11,objgap,289
29,12,subjgap,336
29,13,objgap,260
29,14,subjgap,484
29,15,objgap,376
29,16,subjgap,410
30,1,subjgap,270
30,2,objgap,169
30,3,subjgap,181
30,4,objgap,1944
30,5,subjgap,397
30,6,objgap,323
30,7,subjgap,330
30,8,objgap,2674
30,9,subjgap,699
30,10,objgap,625
30,11,subjgap,311
30,12,objgap,196
30,13,subjgap,454
30,14,objgap,409
30,15,subjgap,178
30,16,objgap,1126
31,1,objgap,527
31,2,subjgap,463
31,3,objgap,506
31,4,subjgap,594
31,5,objgap,777
31,6,subjgap,575
31,7,objgap,495
31,8,subjgap,530
31,9,objgap,542
31,10,subjgap,639
31,11,objgap,523
31,12,subjgap,456
31,13,objgap,501
31,14,subjgap,508
31,15,objgap,478
31,16,subjgap,609
32,1,subjgap,662
32,2,objgap,646
32,3,subjgap,622
32,4,objgap,599
32,5,subjgap,763
32,6,objgap,722
32,7,subjgap,281
32,8,objgap,621
32,9,subjgap,539
32,10,objgap,816
32,11,subjgap,871
32,12,objgap,827
32,13,subjgap,628
32,14,objgap,438
32,15,subjgap,378
32,16,objgap,495
33,1,objgap,922
33,2,subjgap,438
33,3,objgap,682
33,4,subjgap,587
33,5,objgap,539
33,6,subjgap,951
33,7,objgap,651
33,8,subjgap,957
33,9,objgap,5012
33,10,subjgap,603
33,11,objgap,524
33,12,subjgap,521
33,13,objgap,569
33,14,subjgap,447
33,15,objgap,674
33,16,subjgap,554
34,1,subjgap,251
34,2,objgap,249
34,3,subjgap,278
34,4,objgap,324
34,5,subjgap,240
34,6,objgap,315
34,7,subjgap,225
34,8,objgap,193
34,9,subjgap,506
34,10,objgap,253
34,11,subjgap,1163
34,12,objgap,316
34,13,subjgap,271
34,14,objgap,237
34,15,subjgap,259
34,16,objgap,304
35,1,objgap,360
35,2,subjgap,705
35,3,objgap,354
35,4,subjgap,401
35,5,objgap,847
35,6,subjgap,311
35,7,objgap,371
35,8,subjgap,420
35,9,objgap,327
35,10,subjgap,325
35,11,objgap,723
35,12,subjgap,347
35,13,objgap,482
35,14,subjgap,397
35,15,objgap,405
35,16,subjgap,385
36,1,subjgap,189
36,2,objgap,497
36,3,subjgap,676
36,4,objgap,1119
36,5,subjgap,204
36,6,objgap,451
36,7,subjgap,231
36,8,objgap,208
36,9,subjgap,205
36,10,objgap,1488
36,11,subjgap,234
36,12,objgap,246
36,13,subjgap,600
36,14,objgap,497
36,15,subjgap,204
36,16,objgap,1695
37,1,objgap,770
37,2,subjgap,536
37,3,objgap,686
37,4,subjgap,578
37,5,objgap,457
37,6,subjgap,487
37,7,objgap,2419
37,8,subjgap,884
37,9,objgap,3365
37,10,subjgap,233
37,11,objgap,715
37,12,subjgap,671
37,13,objgap,1104
37,14,subjgap,281
37,15,objgap,1081
37,16,subjgap,971
38,1,subjgap,405
38,2,objgap,461
38,3,subjgap,319
38,4,objgap,435
38,5,subjgap,517
38,6,objgap,435
38,7,subjgap,409
38,8,objgap,548
38,9,subjgap,528
38,10,objgap,465
38,11,subjgap,290
38,12,objgap,391
38,13,subjgap,403
38,14,objgap,524
38,15,subjgap,323
38,16,objgap,332
39,1,objgap,729
39,2,subjgap,246
39,3,objgap,254
39,4,subjgap,254
39,5,objgap,369
39,6,subjgap,358
39,7,objgap,267
39,8,subjgap,255
39,9,objgap,213
39,10,subjgap,1026
39,11,objgap,269
39,12,subjgap,280
39,13,objgap,287
39,14,subjgap,284
39,15,objgap,358
39,16,subjgap,261
40,1,subjgap,275
40,2,objgap,336
40,3,subjgap,339
40,4,objgap,245
40,5,subjgap,283
40,6,objgap,480
40,7,subjgap,469
40,8,objgap,274
40,9,subjgap,360
40,10,objgap,729
40,11,subjgap,488
40,12,objgap,441
40,13,subjgap,467
40,14,objgap,273
40,15,subjgap,470
40,16,objgap,449
41,1,objgap,413
41,2,subjgap,203
41,3,objgap,327
41,4,subjgap,315
41,5,objgap,341
41,6,subjgap,655
41,7,objgap,905
41,8,subjgap,181
41,9,objgap,320
41,10,subjgap,319
41,11,objgap,424
41,12,subjgap,311
41,13,objgap,242
41,14,subjgap,241
41,15,objgap,323
41,16,subjgap,206
42,1,subjgap,204
42,2,objgap,166
42,3,subjgap,412
42,4,objgap,167
42,5,subjgap,270
42,6,objgap,159
42,7,subjgap,237
42,8,objgap,192
42,9,subjgap,229
42,10,objgap,173
42,11,subjgap,181
42,12,objgap,173
42,13,subjgap,263
42,14,objgap,181
42,15,subjgap,251
42,16,objgap,316
